,Id,label,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
10,"1__Feeling_Immersed,_Connected_&_Seen",5,1,2,2,2,2,2,0,0,2,2,1,2,2,1,3,2,2,2,2,2,"""During the weekend seminar with TAPS, my favorite moment was the opportunity to connect with other families who have experienced similar losses. The shared experiences allowed us to provide each other with comfort and understanding, creating a sense of community that I had not felt before. This experience was a breakthrough moment for me as it strengthened my connection with the surviving family unit and allowed me to see the importance of seeking and offering support from others who truly understand our unique grief journey. I am grateful for the tools and resources provided by TAPS and the opportunity to learn from grief and trauma experts, which have empowered me to start finding new purpose and goals in my life.""","""Mi experiencia en el seminario de TAPS fue profundamente significativa y transformadora. En un ambiente de apoyo, pude conectarme con otras familias que también están navegando por el dolor de la pérdida. La discusión en panel sobre encontrar nuevo propósito y sentido después de una pérdida fue especialmente resonante para mí, ofreciéndome insights valiosos que me llevaron a reflexionar sobre mi propio camino en la vida.

Un momento crucial para mí fue el taller sobre cómo crear un legado viviente para nuestros seres queridos. Este taller no solo me proporcionó claridad y motivación renovada para establecer un proyecto comunitario en honor a mi ser"
11,1__New_Growth_&_Purpose,6,2,2,2,2,2,2,0,0,3,3,1,2,2,1,2,2,2,2,2,2,"Free Text Response: ""My favorite moment of the weekend was during the small group discussions when we shared our stories and connected with each other on a deep, emotional level. Hearing others' experiences and realizing I'm not alone in my grief was incredibly powerful and healing.

I had a breakthrough moment during one of the sessions when we were talking about finding hope and purpose after loss. I realized that honoring my loved one's memory and using my pain to help others could give new meaning to my life. This insight has given me a sense of peace and direction moving forward.

I feel immense gratitude to TAPS for providing this safe space for healing and growth. Connecting with other survivors and learning from their journeys has been transformative. I leave the seminar feeling more hopeful","Free Text Response: ""I want to express my heartfelt appreciation to the TAPS team for organizing such a profound and impactful seminar. The weekend exceeded my expectations in every way. The combination of expert presentations, small group discussions, and opportunities for self-care created a holistic and nurturing environment for healing.

I was blown away by the caliber of the speakers and the depth of their insights. The workshops provided us with valuable tools and strategies to navigate our grief journeys. I feel empowered with new knowledge and skills that I can apply in my daily life.

The sense of community and connection among the participants was unlike anything I've experienced before. We supported and uplifted each other, creating a safe space to share our stories and emotions. I made lifelong friendships and feel"
12,"2__Immediate_Grief,_Shock,_and_Emotion",1,1,2,2,2,2,2,0,1,3,3,1,2,2,2,2,2,2,1,2,2,"My favorite moment of the weekend was the group activity where we shared our stories and supported one another. It was during this moment that I realized I was not alone in my grief and that it's okay to seek help. Hearing from others who have faced similar experiences brought comfort and hope.

What resonated with me the most was a workshop led by a grief and trauma expert. They provided practical tools to cope with isolation and the challenges of managing responsibilities alone. I left that session feeling a sense of purpose that I hadn't felt in a long time and I truly believe it was a breakthrough moment for me.","The TAPS Seminar exceeded my expectations in every way. The combination of expert-led workshops, peer support, and shared experiences created a safe and nurturing environment for healing and growth.

The accommodations and meals were excellent and allowed us to focus solely on our journey. The staff and volunteers were incredibly caring, attentive, and professional. I truly felt seen, heard, and valued throughout the entire seminar.

I would highly recommend this experience to anyone who is grieving and searching for hope and healing. TAPS has provided me with invaluable tools and a supportive community that I will lean on for years to come.

Thank you, TAPS, for giving me the opportunity to take tangible steps forward in my grief journey."
13,2__Navigating_Family_Relationships,2,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,1,1,2,2,"""During the TAPS seminar, my favorite moment was the group sharing session where we openly discussed our grief experiences. It was comforting to know that others could relate to my struggles and emotions.

A breakthrough moment for me was when I realized that each family member is on their own unique grief journey, and we need to be patient and understanding with one another. This helped me let go of some of the tension I was feeling within my family and focus on supporting and nurturing my own emotional healing.""","""The TAPS Seminar provided valuable resources and support for my family and me as we navigate our grief journey. However, I believe there is room for improvement in addressing the unique dynamics and conflicts that can arise within families coping with loss.

To better support families, I suggest incorporating more workshops or support groups specifically designed to improve communication and understanding among family members. By providing tools and strategies to navigate these complex relationships, TAPS can offer a more comprehensive support system for families during these challenging times.

Overall, I am grateful for the opportunity to connect with others and learn from the seminar, but I believe that addressing family dynamics more effectively would greatly enhance the overall impact of the TAPS Seminar experience for families like mine."""
14,2__Learning_to_Process_Grief,3,3,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"The most meaningful moment for me and my family during the TAPS seminar was the group sharing session where both adults and children had the opportunity to open up about their experiences and emotions. Seeing the vulnerability, unity, and empathy among the participants was deeply moving and showcased the power of human connection and togetherness in the healing process.

This event served as a breakthrough moment for our family as we were able to process our grief collectively and find comfort in shared experiences and understanding. Connecting with others who faced similar challenges and receiving their support provided immense comfort to my spouse, our children, and me, strengthening our family bond.

We are incredibly grateful to TAPS for creating a secure and nurturing environment that allowed us to heal and form meaningful relationships with others on","The TAPS Seminar was an incredibly valuable and meaningful experience for me and my family. The group chat for kids, led by a knowledgeable and compassionate leader, was particularly impactful. It provided a safe space for children to express their feelings and bond with others who share similar experiences.

The leader's guidance and reassurance that the kids were not alone was comforting and empowering. Their explanation of why the loss occurred helped my child feel proud and stronger. 

Additionally, TAPS was always available to provide assistance, advice, and hope. They created a supportive environment that made us feel capable of navigating the challenges ahead. The therapeutic atmosphere, workshops, resources, and support offered at the seminar were invaluable in our healing journey.

We are truly grateful for the opportunity to"
15,2__Moments_That_Matter,4,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"The most meaningful moment for me was when we shared our stories and connected with others who have experienced similar losses. It was incredibly moving to be surrounded by people who understand the unique challenges of grieving a family member who served in the military. As we shared experiences and offered support to one another, I felt a renewed sense of hope and understanding that I'm not alone in this journey. This weekend has given me the strength and courage to face the upcoming anniversaries and holidays with a bit more comfort, knowing that I have a network of support and a community that cares.","The TAPS Seminar experience was incredibly meaningful and helpful for me in my grief journey. The opportunity to connect with others who have experienced similar losses and to share our stories in a supportive environment was invaluable. The various sessions and activities, such as the art therapy and the candle lighting ceremony, provided different ways for us to express our emotions and memories, and to find comfort and healing together. I am grateful for the sense of community and understanding that TAPS has provided, and I feel more supported and empowered to continue on my path of grief and healing. Thank you for this transformative experience."
16,"2__Feeling_Immersed,_Connected_&_Seen",5,1,2,2,2,2,2,0,0,3,3,1,2,3,1,3,2,2,2,2,2,My favorite moment of the weekend was during the memorial service when we all came together to honor and remember our loved ones. It was a powerful and emotional experience that brought everyone closer. I also had a breakthrough moment during one of the workshops when I realized that I'm not alone in my grief journey and that there is a strong support system available through TAPS. This realization has given me renewed hope and strength to keep moving forward.,"The TAPS Seminar was an incredibly valuable and transformative experience for me. The combination of peer-based support and professional expertise provided a safe and understanding environment for me to explore my grief and begin the healing process. The workshops and group activities were well-organized and facilitated, allowing for open and honest discussions about our experiences and emotions.

I appreciate the diversity of the sessions, which covered various aspects of grief, coping strategies, and self-care. The opportunity to participate in the memorial service and honor our loved ones was particularly meaningful and provided a sense of closure and connection.

Overall, I am grateful for the support, guidance, and resources provided by TAPS during this challenging time. The seminar has empowered me to continue my grief journey with a renewed sense of purpose"
17,2__New_Growth_&_Purpose,6,1,2,2,2,2,2,0,0,3,3,0,2,3,1,3,3,3,3,3,3,"Free Text Response 2: ""My favorite moment of the weekend was the panel discussion with TAPS experts, where I realized that I had reached a healthy stage in my grief journey and felt inspired to give back to the TAPS community. This breakthrough moment made me recognize the strength that comes from shared experiences and empathy, and it motivated me to participate in mentorship programs, volunteer for charity drives and events, and support others in their journey of loss and recovery.""","Free Text Response 3: ""The TAPS Seminar was a life-changing experience for me. The sense of community, understanding, and support I found among the attendees and TAPS staff was truly remarkable. The workshops and discussions provided valuable tools and resources for navigating the grief journey, and I feel better equipped to handle the challenges I face. I am grateful for the opportunity to connect with others who share similar experiences and for the encouragement to give back to the TAPS community. I look forward to staying involved and continuing to find healing and purpose through TAPS."""
18,"3__Immediate_Grief,_Shock,_and_Emotion",1,1,2,2,2,2,2,0,1,2,2,1,2,2,1,2,2,1,1,1,2,"""My favorite moment of the weekend was during the sharing circle when we were encouraged to open up about our stories and feelings. It was comforting to know that I'm not alone in this journey and that others understand what I'm going through. A breakthrough moment for me was realizing that it's okay to grieve and take time for myself, even when I have family responsibilities. The seminar helped me see that self-care is important in the healing process.""","""The TAPS Seminar was a transformative experience for me, and I am deeply grateful for the support and understanding I found within this community. While the seminar provided valuable resources and tools for coping with grief, I believe there is an opportunity to enhance the experience for younger participants like myself.

I suggest that TAPS consider offering more age-specific workshops and activities that cater to the unique challenges faced by children and teens who have lost a loved one in the military. This could include discussions on navigating the complex emotions of grief while also dealing with the pressures of school, social life, and family responsibilities.

Additionally, I think it would be beneficial to have more opportunities for one-on-one support or mentoring from individuals who have experienced a similar loss at a young age. This"
19,3__Navigating_Family_Relationships,2,1,2,2,1,2,2,0,1,3,3,1,2,2,2,2,2,2,2,2,2,"My favorite moment of the weekend was during the group activity where we were encouraged to express our emotions without judgment. Although it created some tension within our family unit, I felt deeply heard and understood by the others at the seminar. This experience taught me to be more patient and accepting of our unique grief journeys as a family. I realized that our collective healing process is essential for us to move forward. Connecting with other families broke the ice and gave me hope and inspiration to support each other on this path.","Dis TAPS seminar was truly a life-changin experience for mi. It provide a safe space where mi could openly express mi emotions and connect wit others who are goin through da same ting. Da support and understanding mi receive from da TAPS community was overwhelmin and it help mi to start healin. Mi also learn valuable tools and techniques to cope wit mi grief and to better support mi famili. Mi feel so grateful for dis opportunity and mi would highly recommend it to anyone who is strugglin wit da loss of a loved one. TAPS has given mi hope for da future and mi know dat wi all help each other through dis difficult time. Mi just want to say big tings to everyone who made dis seminar possible, and"
20,3__Learning_to_Process_Grief,3,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"Free Text Response 2: My favorite moment of the weekend was watching my child open up and express themselves through art during the kids' group session. Seeing them connect with other children going through similar experiences and share their feelings in a safe, supportive environment was incredibly moving. It gave me a deeper understanding of their emotions and showed me the power of creative expression in the healing process. TAPS provided an amazing space for my child to feel seen, heard, and understood, and I am so grateful for this transformative experience.","Free Text Response 3: My TAPS Seminar experience surpassed all my expectations. From the moment I arrived, I felt welcomed and supported by the entire TAPS community. The workshops and group sessions provided valuable tools and strategies for coping with grief, while the connections I made with other surviving family members created a sense of belonging and understanding that I had never experienced before.

The TAPS staff and volunteers were incredibly compassionate, knowledgeable, and dedicated to ensuring that each participant had a meaningful and healing experience. Their commitment to supporting the military survivor community is truly remarkable.

I am grateful for the opportunity to attend this seminar and for the lifelong connections I have made. TAPS has provided me with a renewed sense of hope and resilience, and I feel better equipped to"
21,3__Moments_That_Matter,4,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"One of my favorite moments of the weekend was the candle lighting ceremony on the last night. As we lit our candles and shared stories of our loved ones, I felt a strong sense of unity and support from the other families. This experience gave me strength to face upcoming challenges and find solace in our shared grief journey.

Another meaningful moment was participating in the art therapy session. Expressing emotions through painting and drawing helped our family better understand each other's grief, while bringing us closer together. Overall, the weekend gave me hope and renewed energy to cherish the moments that matter with my family.","I deeply appreciated how the TAPS Seminar addressed the renewed grief experiences I face each year during significant moments and death anniversaries of my loved one. The shared connections and support from the fellowSurviving Family Unit members provided invaluable guidance on navigating special moments in our children's lives.

While these times can be bittersweet, the tools and resources we gained from the seminar have strengthened our family's ability to honor our loved one's memory together. The TAPS program is highly recommended for any family going through similar challenges. TAPS continues to do exceptional work in supporting the grieving community!"
22,"3__Feeling_Immersed,_Connected_&_Seen",5,1,2,2,2,2,2,0,0,2,2,1,2,2,1,3,2,2,2,2,2,"""During the weekend seminar with TAPS, my favorite moment was the opportunity to connect with other families who have experienced similar losses. The shared experiences allowed us to provide each other with comfort and understanding, creating a sense of community that I had not felt before. This experience was a breakthrough moment for me as it strengthened my connection with the surviving family unit and allowed me to see the importance of seeking and offering support from others who truly understand our unique grief journey. I am grateful for the tools and resources provided by TAPS and the opportunity to learn from grief and trauma experts, which have empowered me to start finding new purpose and goals in my life.""","""The TAPS Seminar exceeded my expectations in every way. The organizers and facilitators created a warm, welcoming, and safe environment that allowed me to open up and truly engage with the grief work. The variety of activities, from small group discussions to experiential workshops, provided a well-rounded approach to healing and growth. I particularly appreciated the integration of creative outlets like writing and art, as they offered new ways for me to express my grief and honor my loved one.

The expertise of the TAPS staff and the compassion of the volunteers were evident in every aspect of the seminar. Their dedication to supporting the grieving community is truly remarkable, and I feel incredibly grateful to have been a part of this experience. I left the seminar feeling empowered, connected,"
23,3__New_Growth_&_Purpose,6,1,2,2,2,2,2,0,0,3,3,1,2,2,1,2,2,2,2,2,2,"The panel discussion on coping with grief was incredibly impactful for me. Hearing others openly share their experiences and how they've navigated their own journeys of loss and healing provided me with a profound sense of connection and understanding. It sparked a shift in my own perspective, realizing that I'm not alone in this pain, and that there is hope and support available.

My breakthrough moment came during the art therapy session. Expressing my emotions through painting allowed me to confront my grief in a way that felt safe and cathartic. It was a deeply healing experience that has given me renewed strength and a sense of purpose to give back to others who are struggling. I'm eager to volunteer with TAPS and contribute to making a difference in the lives of those who are","The TAPS seminar was an incredibly transformative and healing experience for me. The sense of community, understanding, and support I found among the other attendees was truly remarkable. It provided a safe space for me to openly grieve and connect with others who understand the profound pain of loss.

In addition to the panel discussion and art therapy session, I also found great value in the smaller group discussions and one-on-one conversations. Sharing stories, tears, and laughter with others who have walked a similar path has given me a renewed sense of hope and resilience.

I am deeply grateful to TAPS for providing this opportunity and for the dedication of the staff and volunteers who make these seminars possible. Their compassion and commitment to supporting grieving families is truly inspiring.

As I move"
24,"4__Immediate_Grief,_Shock,_and_Emotion",1,1,2,1,2,2,2,0,1,2,2,1,2,2,2,2,2,2,1,2,2,"The highlight of the weekend for me was participating in the group activity where we shared our stories and supported one another. It was during this moment that I realized I was not alone in my grief and that it's okay to seek help. Hearing from others who have faced similar experiences brought comfort and hope.

What resonated with me the most was a workshop led by a grief and trauma expert. They provided practical tools to cope with isolation and the challenges of managing responsibilities alone. I left that session feeling a sense of purpose that I hadn't felt in a long time and I truly believe it was a breakthrough moment for me.","The TAPS seminar was a transformative experience for me. The opportunity to connect with others who have faced similar losses and to learn from experts in the field of grief and trauma was invaluable. The supportive environment allowed me to open up and process my emotions in a way that I hadn't been able to before.

I appreciated the variety of workshops and activities offered throughout the weekend, as they catered to different learning styles and preferences. The small group discussions were particularly beneficial, as they provided a safe space to share my story and listen to others' experiences.

The TAPS volunteers were incredibly kind, compassionate, and knowledgeable. Their dedication to supporting the grieving community is truly inspiring. I left the seminar feeling more hopeful and empowered to continue my healing journey. I"
25,4__Navigating_Family_Relationships,2,1,2,2,2,2,2,0,1,2,3,1,2,2,1,2,2,2,2,2,2,"My favorite moment of the weekend was participating in the group sharing and bonding activities with my family. It helped me realize that we are all going through our unique grief journeys and need to have patience and understanding for one another.

My breakthrough moment came when we created a 'Healing Hearts Artwork' together. This activity allowed me to express my emotions and validate my pain in a creative way. It brought a sense of unity within my family and helped me see that we are all in this together. The experience was powerful and allowed me to address the tension within the family, striving for a more supportive environment moving forward.","The TAPS Seminar provided me with valuable resources and support, which I greatly appreciate. However, I noticed that there is still tension within my family as we each navigate our grief differently. It would be beneficial to have more family-centered support and understanding, as some of my family members may be struggling independently.

While the seminar equipped me with tools and a supportive community to manage my own grief, I believe addressing the dynamics within the family unit could further enhance the healing process for everyone involved. Overall, my experience at the TAPS Seminar was helpful, and I am grateful for the support provided."
26,4__Learning_to_Process_Grief,3,3,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"Free Text Response 2: My favorite moment of the TAPS seminar weekend was the memorial ceremony where we had the opportunity to honor and remember our loved one who passed away. It was a beautiful and touching event that allowed our family to come together and share our love, memories, and grief in a supportive environment. The ceremony provided a sense of closure and healing for us, and we were grateful to be surrounded by others who understood our pain and offered their support.

During the weekend, I had a breakthrough moment during a small group discussion session. I was able to open up and share my feelings of guilt and regret about things I wish I had done differently before my loved one died. The facilitator and other group members listened with empathy and provided words","Free Text Response 3: I am deeply grateful for the opportunity to attend the TAPS Seminar. The experience surpassed my expectations and provided a safe and nurturing environment for me to process my grief and connect with others who have experienced similar losses. The workshops and group discussions were incredibly helpful in providing tools and strategies for coping with grief, and the sense of community and support among the participants was truly remarkable.

I appreciate the dedication and compassion of the TAPS staff and volunteers, who worked tirelessly to ensure that everyone felt supported and cared for throughout the weekend. Their expertise and understanding of the grieving process made a significant impact on my healing journey.

I would highly recommend the TAPS Seminar to anyone who has lost a loved one in service to our country. The"
27,4__Moments_That_Matter,4,3,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,"One of the most impactful moments for me during the TAPS seminar was the opportunity to participate in the candle lighting ceremony. As we each lit a candle in honor of our loved ones who have passed, I felt a profound sense of connection and unity with the other attendees. The room was filled with a powerful energy of love, remembrance, and support. 

As I lit my candle, I took a moment to reflect on the incredible person my family member was and the lasting impact they had on my life. I felt a surge of emotions - grief, gratitude, pride, and love - all intertwined. But in that moment, I also felt a renewed sense of strength and resilience. Lighting that candle symbolized not only my love for my family member","The TAPS seminar was an incredibly transformative experience for me. I am so grateful to have had the opportunity to attend and connect with others who understand the complex journey of grief. The seminar provided a safe and supportive space to share my story, honor my loved one, and begin the healing process.

The workshops and group discussions were insightful and thought-provoking. They helped me gain new perspectives on grief and provided me with valuable tools and strategies to cope with my loss. I appreciated the diversity of experiences and backgrounds represented among the attendees and facilitators.

The sense of community and connection I felt throughout the weekend was truly remarkable. Knowing that I am not alone in this journey has given me a renewed sense of hope and strength. I feel more empowered to"
